X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
12122282,184,1043269,15,-6579060,-101,119900,1,3011381,45,262103531,3999,0
12251995,186,1844113,28,-7602185,-117,-3892760,-60,2740177,41,261321639,3987,0
11795361,179,147685,2,-8815298,-135,-2103545,-33,2290332,34,263297449,4054,0
9569730,146,-197812,-4,-9625425,-147,-350489,-6,3522960,53,266678413,4069,0
8454359,129,587175,8,-11116710,-170,-895406,-14,3662294,55,265905620,4057,0
6288813,95,859825,13,-11725457,-179,-1246195,-7,561763,8,263914312,4027,0
5109020,77,266089,4,-11580123,-177,523786,7,-810185,-13,263641452,4022,0
3267722,49,-96450,-2,-11304307,-173,1301319,19,-1727751,-27,264167024,4030,0
2804566,42,-35975,3,-10622712,-163,1014149,15,-2409465,-37,263495740,4020,0
1688079,25,512057,7,-10077462,-154,789784,12,-2586110,-40,263357869,4018,0
1294847,19,445482,6,-9325893,-143,221585,3,-2180522,-34,262914909,4011,0
835742,12,316441,4,-9189931,-141,556337,8,-2357233,-54,262293204,4002,0
1097593,16,521334,7,-8591915,-132,837072,12,-4044869,-62,261622359,3992,0
1687940,25,525027,8,-8581704,-131,438422,6,-4473885,-72,261492049,3990,0
2277966,34,530161,8,-8039845,-111,988981,15,-4444971,-68,261619572,3991,0
3523063,53,542517,8,-6684400,-102,915701,13,-3802203,-59,262408822,4004,0
3784945,57,612341,9,-6413592,-87,414935,6,-2136108,-33,262795504,4009,0
3784859,57,488938,7,-5868896,-90,76070,1,-1219094,-19,263483092,4020,0
3723093,56,553979,8,-6140861,-94,-26003,-1,-645072,-10,263453232,4019,0
3329891,50,418825,6,-6069434,-93,164146,2,-724007,-12,263666871,4022,0
2739168,41,555181,8,-5865482,-90,-252962,-4,-574075,-9,263148078,4015,0
2738541,41,694184,10,-5729146,-88,-454907,-7,-417444,-7,262931292,4012,0
1816928,27,612897,9,-6066803,-93,-302608,-5,346189,5,263515709,4020,0
1161625,17,474575,5,-6809632,-104,-134910,-3,324569,4,263713905,4023,0
47134,0,467252,7,-7147995,-110,112709,1,-303360,-5,263098509,4014,0
-85234,-2,939560,14,-6878627,-105,-414702,-7,-245185,-4,262634150,4007,0
177761,2,736537,11,-7217385,-111,-555015,-9,-221400,-4,263094456,4014,0
-18561,-1,598636,9,-7487500,-115,167643,2,-473369,-8,263171785,4015,0
-345819,-6,461924,7,-7758527,-119,64006,0,-1083802,-16,262509730,4005,0
-410975,-7,326553,4,-8087960,-124,-123414,-2,-999038,-16,262314877,4002,0
-541942,-9,659993,10,-8234474,-126,-453699,-7,-593559,-10,263042353,4013,0
-674621,-11,796833,12,-7962534,-121,-111175,-2,-537645,-9,263180054,4015,0
-1133379,-18,721035,11,-8912547,-136,-586822,-9,-418187,-7,262911968,4011,0
-1132417,-18,517766,7,-9047817,-139,-283692,-5,-959024,-15,262673209,4008,0
-935943,-14,723165,11,-8709492,-133,27632,0,-1712980,-27,262334019,3997,0
-936029,-15,657492,10,-8505061,-130,532899,8,-3070888,-47,261942882,3996,0
-935309,-15,458745,6,-8166005,-125,1160084,17,-3988668,-61,261550338,3990,0
113328,1,666808,10,-7556865,-116,733184,4,-3977020,-61,261369747,3988,0
703882,10,532394,8,-7016816,-108,621735,9,-3482847,-54,261924375,3996,0
1882412,28,1010384,15,-6952304,-107,735587,6,-3046569,-47,262090502,3999,0
2210177,33,1011824,12,-6884976,-106,66947,1,-2448082,-38,261534636,3990,0
2473398,37,740873,11,-7021402,-108,210134,3,-4440335,-68,261711179,3993,0
3194486,48,813590,12,-5734873,-88,1261767,19,-5017092,-77,261722743,3993,0
4767800,72,825361,12,-5261908,-81,582500,8,-3065348,-47,261196598,3985,0
5751473,87,822258,12,-5872326,-90,-150611,-3,-2497130,-39,261793326,3994,0
