X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-62504,-1,816046,12,-209575,-4,1682661,25,2105864,32,263405581,4019,0
-185849,-3,760794,11,-344278,-6,1804142,27,2432417,37,263096822,4014,0
-514322,-8,1029336,15,-208310,-4,1615382,24,2395137,36,263466788,4020,0
-55161,-1,896244,13,-277205,-5,1670453,25,2278100,29,262775883,4009,0
76249,1,827360,12,-612496,-10,1464790,22,2258044,34,263215971,4016,0
-709776,-11,692358,10,-410217,-7,1735631,26,2305774,35,263016619,4013,0
-513985,-8,896352,13,-207610,-4,1657406,25,2103320,32,263007893,4013,0
-120816,-2,892785,13,-684974,-11,1810454,27,2095077,31,262896180,4013,0
-382500,-6,825140,12,-683826,-11,1915920,27,2344644,35,262675244,4008,0
-251486,-4,760313,11,-480049,-8,1790956,27,2380826,36,262786686,4009,0
-382744,-6,764565,11,132402,2,1985105,30,2245169,34,263052004,4013,0
-317338,-5,895974,13,-548527,-9,1693459,25,2054435,31,262971740,4012,0
-251924,-4,962265,14,-412756,-7,1912005,29,2147136,33,263067874,4014,0
-255758,-4,956696,14,-277061,-5,1802026,27,2156856,32,262749864,4009,0
-456314,-7,1083985,16,-345149,-6,1694120,25,2184463,33,262854446,4010,0
-521811,-8,1016578,15,-344685,-6,1657682,25,2102841,32,263151286,4015,0
-456142,-7,950030,14,-277362,-5,1745946,26,2136004,32,262924740,4010,0
-258881,-4,809589,12,-956884,-15,1742364,26,2433440,37,262946427,4012,0
-454931,-7,543342,8,-207491,-4,1620364,24,2014174,30,262924319,4011,0
-324683,-5,816437,12,-140664,-3,1607144,24,2006523,30,262797115,4009,0
-586861,-9,817312,12,404259,6,1678102,25,2339918,35,262946016,4012,0
-127818,-2,684131,10,131121,2,1777847,27,2074995,30,262670318,4008,0
-193593,-3,817143,12,-73121,-4,1640601,25,2100017,32,262837359,4010,0
-455919,-7,949258,14,-344677,-6,1697754,25,2340546,35,262954683,4012,0
-320843,-5,821963,12,-276361,-5,1741096,26,1940681,29,262835809,4010,0
-316164,-5,629916,9,132874,2,1898688,28,2075051,31,262724949,4014,0
-317374,-5,898302,13,-4296,-1,1788567,27,2161395,32,262610470,4007,0
-120646,-2,829537,12,-480284,-8,1688181,25,1961901,29,262661213,4007,0
-382945,-6,961001,14,-548299,-9,1755102,26,2404309,36,263077037,4014,0
-514078,-8,961425,14,-479608,-8,1827350,27,2335591,35,262861828,4010,0
-316843,-5,760136,11,-411821,-7,1742818,26,2085826,32,262943972,4012,0
-382441,-6,696678,10,326783,4,1670522,25,2310762,35,263100520,4014,0
-383084,-6,1099161,16,-140775,-3,1693721,25,2393892,36,262979594,4012,0
-317682,-5,1031902,15,-140767,-3,1735262,26,2293973,35,263171786,4015,0
-512883,-8,489061,7,-545280,-9,1791899,27,2383693,36,263104628,4015,0
-447919,-7,695469,10,-71132,-2,1755321,26,2306013,35,263235630,4016,0
6582,0,826205,10,199195,3,1807108,27,2176003,33,263059780,4013,0
-320581,-5,687754,10,-207889,-4,1935902,29,2339422,35,262905648,4011,0
-517432,-8,755486,11,-71669,-2,1749893,26,2140261,32,262864979,4011,0
-255572,-4,953882,14,-617057,-10,1778446,27,2074283,31,263047502,4013,0
-58999,-1,955223,14,-481743,-4,1734189,26,2389472,36,262715513,4008,0
72071,-7,687093,10,-275432,-5,1661289,25,2320426,35,262784790,4009,0
-713790,-11,687400,10,-206520,-4,1914359,29,1960928,29,262724382,4008,0
-516701,-8,619925,9,-275881,-5,1629174,24,2279360,34,262830360,4013,0
-189661,-3,754677,11,-276581,-5,1690613,26,2234138,34,262825807,4010,0
-255830,-4,958433,15,-73070,-2,1791494,27,2367785,36,263009319,4013,0
-260311,-4,1220624,18,-142307,-3,1681368,25,2360784,36,262763183,4009,0
-325411,-5,1083531,16,-413360,-7,1838700,28,2115345,32,262916431,4011,0
-128639,-2,1017499,15,-278054,-5,1842940,28,2188759,33,262985094,4012,0
-63345,-1,1087240,16,-6520,-2,1701364,25,2132291,32,262869192,4011,0
-63144,2,816776,12,-142260,-3,1827711,27,2339093,35,262766943,4009,0
68784,1,747105,11,-413793,-7,1813577,27,2059283,31,262677709,4008,0
-128281,-2,953703,14,129722,1,1689272,25,2275597,34,262703180,4008,0
