X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-1807052,-28,203675,3,2015736,30,1949495,29,-11481922,-176,-261732674,-3994,0
-758430,-12,-195650,-3,2557463,39,4885993,74,-8474014,-130,-261215771,-3986,0
-234747,-2,275392,4,2417540,36,4805096,73,-10131875,-155,-259262380,-3932,0
-103164,-2,137163,2,2010041,30,-1006070,-16,-3342309,-51,-264627263,-4038,0
158743,2,134131,2,1602070,24,-4603197,-71,2120042,32,-270208471,-4124,0
-958353,-15,612871,9,2555316,38,-4936003,-7,-476731,-8,-262016397,-3999,0
-1871972,-29,-430243,-7,3379914,51,4024640,61,-8211712,-126,-256530527,-3915,0
-1406712,-22,-1127647,-18,3175324,48,6252842,95,-9076398,-139,-257418871,-3928,0
428694,6,-1261618,-2,3500130,53,-1645956,-26,-4367365,-67,-264576274,-4038,0
2257668,34,836694,12,3903656,59,-382213,-6,-8853919,-136,-262047602,-3999,0
1798280,27,837242,12,3910797,59,5503011,83,-12055423,-184,-259927635,-3967,0
229260,3,-377550,-6,3982969,60,1403462,21,-8479581,-174,-265375844,-4050,0
688563,10,-368944,-6,5717278,87,5439002,82,-19830237,-303,-261381394,-3989,0
1143138,17,1116392,17,5198497,79,4126758,62,-14137820,-88,-269082634,-4106,0
488098,7,503230,7,4522950,85,-2367696,-37,1280413,19,-271085659,-4137,0
-3116947,-48,442019,6,5827637,88,-4995808,-77,10310583,157,-271868317,-4149,0
-5158351,-79,1098478,16,4880093,64,-525443,-9,6681588,101,-267512397,-4082,0
-6605411,-110,2158215,32,4406810,67,-1436410,-22,-3531488,-54,-252105871,-3847,0
-7325453,-112,1828348,27,5156391,78,3801180,58,-22617784,-346,-249232903,-3803,0
-6206978,-95,-521721,-8,5765429,87,281340,4,-12338406,-189,-255830412,-4118,0
-2210565,-34,-385497,-6,5826338,88,-3180114,-49,5571494,85,-273338520,-4171,0
-1954085,-30,2586481,39,6771080,103,-3284749,-51,-597421,-10,-266218165,-4063,0
-4506923,-69,1236362,18,6644597,101,2933817,53,-18717243,-286,-247920993,-3783,0
-4104231,-63,-3100144,-48,6446370,98,2336334,35,-8672874,-133,-254819904,-3889,0
942735,14,-2463325,-38,6706641,102,-1216554,-19,-9235444,-141,-265545493,-4052,0
2049813,31,582758,49,8656395,132,2341193,35,-17773042,-272,-261495941,-3991,0
667295,10,3138893,47,7775890,118,5718818,87,-11017890,-169,-265105808,-4046,0
345258,5,1524638,23,7650875,116,8712068,132,-11470061,-176,-262320605,-4003,0
753590,11,-621141,-10,7041870,107,6419600,97,-13978544,-173,-258063094,-3938,0
1084292,16,-1636545,-25,5514807,84,3813639,58,-5937549,-91,-263792865,-4026,0
1606454,24,-1174689,-18,5204923,79,3680168,56,-5735718,-88,-270755049,-4132,0
486891,7,648249,9,5746392,92,-10425260,-160,9806023,149,-275444757,-4203,0
-3777555,-58,714532,10,6168951,94,-6103698,-94,2689584,41,-257989520,-3937,0
-4556201,-70,-430081,-7,6311688,96,7370980,112,-16243509,-248,-251298122,-3835,0
-3436429,-14,-692056,-11,5960192,90,6835706,104,-18903787,-289,-254372995,-3921,0
1021884,15,-819323,-13,6566007,100,6260810,95,-21753944,-332,-254595472,-3885,0
2203721,33,-1486177,-23,7173254,109,3900071,59,-15403352,-236,-260126694,-4082,0
3639927,55,-483831,-8,6215729,94,-792541,-13,-2045736,-32,-270231520,-4124,0
3045964,46,1587776,24,7305004,111,-405132,-7,2064528,31,-267862926,-4088,0
-627950,-10,1070597,16,7449041,113,1341317,2,4783869,72,-263253879,-4017,0
-1936803,-30,197450,3,5621930,85,352498,5,-2622913,-41,-259905209,-3966,0
-1407679,-22,35036,0,4463527,68,2309622,35,-6657210,-102,-263418228,-4020,0
-97309,-2,433132,22,3501622,53,1516767,23,-5336814,-82,-264343847,-4034,0
-1017857,-16,1587364,24,4592722,70,-1956781,-30,5655988,86,-270575301,-4129,0
-1936662,-30,919717,14,5689413,86,-5192966,-80,4354023,66,-267618335,-4084,0
-3838655,-59,1188819,18,5759863,87,-5790751,-89,6831309,20,-262458047,-4005,0
-5150242,-79,1453638,22,4899216,74,-1194368,-19,-6699795,-103,-259278094,-3957,0
-5148706,-79,1927182,29,5489848,83,-2582291,-40,-6218370,-95,-256385374,-3913,0
-3708613,-57,1869728,28,6640984,90,-1918483,-30,118463,1,-263876829,-4027,0
-3054612,-47,2263042,34,5209390,79,-9725088,-149,10142579,154,-267903125,-4088,0
-3772203,-58,913695,13,5080625,77,-6954002,-107,11089670,169,-267735962,-4086,0
-5146275,-92,-621162,-10,7201658,109,-5379719,-83,11875225,181,-268824079,-3993,0
-6456524,-99,-749057,-12,8087665,123,878568,13,-4723277,-73,-255642969,-3901,0
-6453387,-99,-1028727,-16,6726423,102,-1471564,-23,-1037536,-16,-256047901,-3991,0
-4946624,-76,-766625,-12,5702586,87,-6602125,-101,1142306,17,-259908439,-3966,0
-4225499,-65,-301152,-5,6852520,104,-3814381,-59,86604,1,-259142995,-3955,0
-3505983,-54,-412636,-7,7600255,115,-1392244,-92,2368613,36,-264568154,-4037,0
-3374796,-52,-349047,-7,6783401,103,-8693503,-133,7467526,113,-268659639,-4100,0
-3376412,-52,-209898,-4,7599091,115,-9087412,-139,3568807,54,-266512361,-4067,0
-4426651,-68,397020,2,7741111,118,2007327,30,2112902,32,-264450830,-4036,0
-5935201,-91,326742,4,7742089,118,-684854,-11,1482825,22,-263555291,-4022,0
-6069894,-93,922769,14,7469508,113,-4477059,-69,-1951128,-30,-259606542,-3962,0
-6529071,-100,390350,5,8151567,124,-2656436,-41,5707632,126,-262416232,-4005,0
