X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-126784,-2,717747,10,-329435,-6,2471016,37,2640753,24,262761577,4009,0
-253568,-4,723039,11,-794801,-13,1747978,26,2217695,33,263138048,4015,0
-384860,-6,722790,11,-532201,-9,1457453,22,2316685,35,263315674,4017,0
-712470,-11,590508,9,-190630,-9,1638011,24,2338045,35,262674076,4008,0
-909215,-14,721146,11,-666359,-11,1746881,26,2067607,31,263208526,4016,0
-909717,-14,791909,12,-258645,-4,1925711,29,2331665,35,263023038,4013,0
-844219,-12,790866,12,-395084,-7,1945964,29,2253712,34,263137766,4019,0
-385543,-6,927769,14,-192950,-3,1646972,25,2047710,31,262878873,4011,0
-319765,-5,722962,11,-462841,-8,1872158,28,2030194,30,263025321,4013,0
-712667,-11,720710,10,-735035,-12,1764688,27,2096541,31,262779465,4009,0
-188640,-3,922859,14,9884,0,2154065,32,2058874,31,262734664,4009,0
-188753,-3,861112,13,-125407,-2,1953916,29,2303979,35,262832199,4010,0
-384782,-6,655929,7,-189938,-3,2320018,35,2016845,30,262920775,4011,0
-1106412,-17,726544,11,14241,0,2108020,32,2293429,34,263054377,4013,0
-910077,-14,925527,14,-532908,-9,2437714,37,2146717,32,262964980,4012,0
-188247,-3,722924,11,-532885,-9,2154582,32,1968079,30,263035982,4013,0
-647279,-10,723592,11,-198697,-4,2057683,31,2181369,33,262767445,4009,0
-844058,-13,789667,12,-530839,-9,2014557,30,2065176,34,263172839,4015,0
-515949,-8,655748,10,-332445,-6,2208695,33,2285234,34,263188953,4015,0
-516152,-8,926498,14,-328477,-6,1832275,27,2156629,32,263152024,4015,0
-505601,-8,1014622,15,-259820,-9,2362602,36,2443988,37,263081734,4014,0
-571332,-3,1080584,16,-465172,-8,2326043,35,2301066,35,262983708,4012,0
346691,5,1079991,16,-602979,-10,2332484,35,2315448,35,262608101,4007,0
-111420,-2,677945,10,-189280,-3,2194607,33,1976796,30,262817034,4014,0
-832335,-13,676890,10,-325492,-5,2258346,34,2331965,35,262632272,4007,0
-832467,-13,676254,10,-53525,-1,2102140,32,2107620,32,262798189,4009,0
-701532,-11,745522,11,-190200,-3,2105868,33,2163496,33,263020824,4013,0
-505045,-8,941990,14,-735526,-12,2118792,32,2082352,31,262996704,4013,0
-439633,-7,943331,14,-735754,-12,2352859,35,2229680,34,262731007,4008,0
-242757,-4,812173,12,-123129,-2,2268319,34,2167669,33,262937228,4012,0
-832823,-13,812182,12,-257972,-4,2195567,33,2262246,34,262957879,4012,0
