X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
232772518,3551,-106816250,-1630,5138562,70,18035499,275,66650439,1017,257232015,3925,0
229885904,3507,-105278628,-1607,4123329,62,9233020,140,79331112,1210,264150142,4030,0
227717176,3474,-103953376,-1587,1542535,23,9646981,147,62836392,958,254008511,3875,0
223972942,3347,-95792098,-1462,-4984281,-77,10921909,166,59830339,912,259847201,3964,0
216347472,3301,-93231327,-1423,-4642807,-71,11362352,173,70023690,1068,260945515,3981,0
217199707,3314,-97731518,-1492,-3080574,-48,40356058,615,48423273,738,252383261,3817,0
224034630,3418,-98758893,-1507,-5534012,-85,38285765,584,40241420,614,251381433,3835,0
221800714,3384,-96166104,-1468,-6883226,-106,20718829,316,62141455,948,261452970,3989,0
217331437,3316,-97114562,-1482,-7556939,-116,15560701,162,87167925,1330,266468814,4065,0
218705649,3337,-97863136,-1475,-9334823,-143,4299979,65,94970061,1449,263242054,4016,0
219025504,3342,-94328612,-1440,-12264347,-188,15711146,239,86444830,1319,250183004,3817,0
217446932,3317,-92720944,-1415,-11650303,-178,5409021,82,104403076,1593,251145451,3832,0
219615799,3351,-95467188,-1457,-11242547,-172,30273456,461,52589331,802,238991338,3646,0
222110884,3389,-96900830,-1479,-15439108,-236,41531863,633,57058993,870,246632546,3763,0
216266683,3299,-92690771,-1415,-16748257,-256,19682799,300,72848190,1135,259525356,3960,0
213901961,3263,-91083034,-1390,-18219394,-279,15778626,240,74258829,1133,264153055,4030,0
213836862,3262,-90749763,-1385,-18106448,-277,16160532,246,70929424,1082,259660910,3962,0
214162296,3267,-89808633,-1371,-18518828,-310,1899453,28,71064247,1084,260271999,3971,0
217180795,3313,-89945744,-1373,-20228298,-309,-10617521,-163,79230205,1208,262957493,4012,0
218106138,3328,-89593863,-1368,-19416512,-297,-671982,-11,80442723,1227,257876296,3934,0
219810092,3414,-91292046,-1394,-14262484,-218,4291227,65,77299689,1179,261201731,3982,0
229659654,3504,-94912970,-1449,-12706514,-194,15495665,236,70283857,1072,260789302,3979,0
235108554,3587,-96643568,-1475,-11095549,-170,10419347,158,71989370,1098,261121736,3979,0
237594712,3625,-95225027,-1454,-10693253,-164,11507019,-51,84235296,1285,263109959,4014,0
238050986,3632,-93688867,-1430,-11723314,-179,-16593709,-254,84852727,1294,269757621,4116,0
240410663,3668,-93131162,-1422,-10642389,-163,-10786981,-165,82915301,1265,262841687,4010,0
243687166,3718,-92718704,-1431,-10599424,-162,-5174967,-79,81765294,1247,267502779,4081,0
252347877,3850,-94861155,-1448,-9249994,-142,-5461226,-84,87534900,1335,265025525,4043,0
256346638,3911,-95176644,-1453,-7098497,-109,4772662,72,80309692,1225,262547695,4006,0
261525036,3990,-94095594,-1436,-7448812,-114,6924768,105,77216172,1291,264820314,4040,0
262176811,4000,-92412524,-1411,-8958702,-137,-5678584,-87,78212937,1193,266580713,4067,0
261709029,3993,-88318322,-1348,-9917415,-152,-17509530,-268,86365768,1555,277287761,4231,0
262165152,4000,-86773972,-1325,-10084954,-154,-46368914,-708,104351971,1592,277613245,4236,0
268717802,4100,-87349640,-1333,-7837455,-120,-38112441,-582,99705476,1521,270184920,4122,0
277257060,4230,-90961883,-1388,-5610714,-58,-8517643,-130,75736190,1155,265402414,4049,0
286317237,4475,-97862452,-1494,-2514553,-39,-8690115,-133,78916867,1204,270333488,4124,0
297736220,4543,-98600585,-1505,-2663449,-41,-4610739,-71,76373963,1165,268694041,4099,0
299961558,4577,-95289135,-1454,-1805295,-28,3747974,57,80506922,1228,268370263,4463,0
303088327,4624,-93414925,-1426,-2768319,-43,23148440,353,176420232,2691,334419978,5102,0
296226821,4520,-55042430,-840,-19930585,-305,9885445,150,141750532,2162,252763362,3856,0
246766030,3765,-22164926,-339,-26688054,-408,-5193473,-59,78322836,1195,258954663,3951,0
240780146,3674,-25177573,-385,-17984707,-275,-763145,-12,74292608,1133,281038300,4288,0
256676482,3916,-28765954,-439,-16569581,-253,8501402,129,87344705,1332,289657661,4419,0
259215822,3955,-24397847,-291,-16755136,-256,3164883,48,84972273,1296,276672050,4221,0
264771314,4040,-17165274,-262,-15754908,-241,271493,4,83733707,1277,279787828,4269,0
270087475,4121,-18580777,-284,-18162414,-278,-5866523,-90,84994447,1296,277460952,4233,0
276640754,4221,-15904450,-243,-19744066,-302,-12776456,-195,78260516,1194,272127519,4152,0
279325365,4262,-13682323,-209,-19654668,-300,-9541445,-146,78207363,1193,274848872,4193,0
286934901,4378,-13926132,-213,-19038537,-291,-14784498,-226,80344149,1221,277266986,4230,0
290737398,4436,-13452823,-206,-19849666,-303,-13547386,-207,80402271,1226,280557815,4280,0
299259240,4566,-12569259,-192,-19562073,-299,-19058269,-291,78662766,1200,275068315,4197,0
303196127,4626,-11949628,-183,-19237648,-289,-17365765,-265,83152570,1268,279368665,4262,0
308118048,4778,-13065364,-200,-18519849,-283,-21524838,-329,81199830,1239,276698804,4222,0
318224653,4855,-13514823,-207,-17175663,-263,-11982757,-183,83370300,1272,276422959,4217,0
323868571,4941,-15299646,-234,-14894998,-228,-7013011,-108,84603924,1290,277255309,4247,0
333174414,5083,-14152402,-216,-14981371,-229,-3918704,-60,85833672,1309,270392869,4125,0
335527184,5119,-7374221,-113,-16379599,-250,-2029424,-31,82413404,1257,274806305,4193,0
340302017,5192,-5798547,-89,-16463283,-252,-5388904,-19,79318373,1210,279053086,4258,0
344367165,5254,-5790646,-87,-15676853,-240,-639366,-10,80363784,1226,279107130,4258,0
353217153,5389,-5109368,-78,-16034658,-245,1851344,28,80007489,1220,277176229,4229,0
357999953,5462,-4704158,-64,-15119710,-231,6107975,93,79512545,1213,274586484,4189,0
367375306,5605,-4156053,-64,-15747584,-241,3560102,54,80181269,1223,275419804,4202,0
371832866,5673,-4831238,-74,-15095334,-231,6119403,93,82437152,1257,272330878,4155,0
379763788,5794,-4565930,-70,-16197828,-248,4589721,70,82678010,1267,273307487,4170,0
383566453,5852,-4293869,-66,-15561550,-238,9104285,138,80808364,1233,270430587,4126,0
392023548,5981,-4751469,-73,-15559887,-238,13574053,207,81184351,1238,268414509,4095,0
395632390,6036,-4619948,-71,-16456769,-252,6511426,99,89346404,1363,271081180,4136,0
399041381,6143,-4749682,-73,-16616687,-254,6812789,103,89247935,1361,265795836,4055,0
406845509,6207,-4748732,-73,-17039224,-260,6066136,92,91434417,1395,265497250,4051,0
410582808,6318,-5216646,-80,-17198646,-263,11874059,181,95023397,1449,265844749,4056,0
417992615,6378,-5549663,-85,-17211154,-263,2995629,45,93630758,1428,263152591,4015,0
422126765,6441,-5628562,-86,-19685001,-301,8227955,125,89480977,1365,262738061,4012,0
428814610,6543,-6026781,-92,-19150848,-293,7282576,111,96848843,1477,261499021,3990,0
432097498,6593,-6485545,-99,-20258328,-310,7745064,118,92771913,1415,260702504,3978,0
438070318,6684,-6680432,-102,-20267594,-310,13682719,293,100835917,1538,258064672,3937,0
