X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-29879400,-456,-56631544,-865,-117244380,-1790,-23463050,-359,-240446441,-3669,127719706,1948,0
-30797805,-470,-56557602,-864,-116357532,-1776,-23847398,-364,-240370279,-3668,127948204,1952,0
-31454117,-480,-56481175,-862,-114176774,-1743,-23834241,-364,-240530418,-3671,127875593,1951,0
-33027724,-504,-56735721,-866,-113221454,-1728,-23774826,-363,-240478186,-3670,128230216,1956,0
-33945788,-518,-56797767,-867,-111552613,-1703,-23905040,-365,-240451631,-3670,128099518,1954,0
-36305972,-554,-56717802,-866,-110694588,-1690,-23825265,-364,-240399498,-3669,128476924,1960,0
-37356322,-571,-56713150,-866,-110010794,-1679,-24257599,-371,-240307478,-3667,128567027,1961,0
-38143023,-583,-56902422,-869,-108305505,-1653,-24101744,-368,-240430186,-3669,128411040,1968,0
-39455119,-603,-56765555,-867,-107963510,-1648,-23951402,-366,-240319195,-3667,128793086,1965,0
-40308378,-616,-56359808,-860,-105579290,-1612,-24030112,-367,-240104106,-3664,128862342,1966,0
-41949864,-641,-56132529,-857,-104489394,-1595,-23922450,-366,-240130279,-3665,129109380,1970,0
-43065125,-658,-55991977,-855,-103666681,-1582,-23961303,-366,-239789657,-3659,129437168,1975,0
-45173608,-690,-55259817,-844,-102849943,-1570,-24011261,-367,-239855683,-3661,129563793,1976,0
-45830758,-700,-54912725,-838,-100967179,-1541,-23880891,-365,-239848714,-3660,129301955,1972,0
-47011448,-718,-54160729,-827,-100127672,-1528,-23864149,-365,-239610307,-3657,129414408,1974,0
-47409080,-724,-53612329,-819,-98972335,-1511,-23765556,-363,-239666050,-3658,129867020,1981,0
-48263139,-737,-52188191,-797,-97679292,-1491,-23822397,-364,-239568400,-3656,129978999,1986,0
-49972745,-763,-51576256,-787,-96930773,-1480,-23862765,-364,-239000349,-3647,130399690,1989,0
-50560421,-772,-50829572,-776,-94957950,-1449,-23867122,-365,-239152217,-3650,130573767,1992,0
-51153692,-781,-50269179,-768,-94415221,-1441,-23782053,-363,-238835659,-3645,130642845,1993,0
-51812365,-791,-49320176,-753,-92717950,-1415,-23781105,-363,-238606380,-3641,130214884,1986,0
-52802469,-806,-47218560,-721,-92040433,-1405,-23905859,-365,-238473454,-3638,130760425,1995,0
-53460410,-816,-46474572,-710,-91632798,-1385,-23825626,-364,-238247241,-3636,130884870,1997,0
-54319052,-833,-44857040,-685,-89799312,-1371,-24015918,-367,-238191740,-3635,131360488,2004,0
-54723245,-836,-43704319,-667,-88918978,-1357,-23672376,-362,-237636782,-3627,131472066,2006,0
-55316185,-845,-41806608,-638,-87494115,-1336,-23979702,-366,-237596052,-3626,131655793,2009,0
-56240865,-859,-40653574,-621,-86544650,-1321,-23752409,-363,-237275182,-3621,131517901,2006,0
-56571279,-864,-38922661,-594,-85393106,-1303,-23836188,-364,-237190276,-3620,131649540,2008,0
-56905655,-869,-37738487,-576,-84376789,-1288,-23932883,-366,-236759980,-3613,132010109,2014,0
-57302808,-875,-36519682,-558,-82750296,-1263,-23985490,-366,-236455545,-3609,132122856,2016,0
-58031638,-886,-34144925,-522,-81597768,-1246,-23913015,-365,-236372359,-3611,132396317,2020,0
-58165799,-888,-33128507,-506,-80920937,-1229,-24261974,-371,-236253180,-3605,132311079,2018,0
-58693249,-896,-30896892,-472,-79907027,-1220,-24151140,-369,-235782445,-3598,132655492,2024,0
-58897782,-899,-29611654,-452,-79298904,-1211,-24257563,-371,-235607518,-3596,132632451,2023,0
-59032409,-901,-27713274,-423,-77876322,-1189,-24391050,-373,-235530560,-3594,132756423,2026,0
-59627956,-910,-26762829,-409,-76994596,-1175,-24346944,-374,-235214297,-3590,132945304,2028,0
-59701571,-911,-25416957,-375,-75506824,-1153,-24540545,-375,-234950379,-3586,133050169,2030,0
-59510471,-909,-23713866,-362,-74218275,-1133,-24785636,-379,-234906329,-3585,133042993,2030,0
-59251843,-905,-22560119,-345,-72391695,-1105,-24987664,-382,-234759638,-3583,132960471,2028,0
-59455561,-908,-20257807,-310,-71918830,-1098,-24960371,-381,-234825086,-3582,133179264,2032,0
-59326982,-906,-19507363,-298,-69588835,-1062,-25338373,-387,-234392466,-3577,133658704,2039,0
-59264220,-905,-17671945,-270,-68936858,-1052,-25231388,-386,-234559401,-3580,133479455,2036,0
-58877197,-899,-16587693,-254,-68262089,-1042,-25566140,-391,-234321037,-3576,133774349,2041,0
-58420357,-892,-15221498,-233,-66162039,-1010,-25849392,-395,-234223266,-3574,133767492,2040,0
