adisAccelX,adisAccelY,adisAccelZ,adisGyroX,adisGyroY,adisGyroZ,adisTemp,adisDataCNT,lsmMagX,lsmMagY,lsmMagZ,mpuAccelX,mpuAccelY,mpuAccelZ,mpuGyroX,mpuGyroY,mpuGyroZ,mpuTemp,year,month,day,hour,min,sec,fixType,fLon,fLat,height,hMSL,hAcc,vAcc,gSpeed,headMot,padding
-0.07566819915771485,0.016001637268066405,9.827515919494628,0.0007101785051081848,0.007283632346965485,-0.001898860475787964,29.899999618530273,50808,18.75,-19.350000381469727,-71.55000305175781,-0.01674804650247097,0.083740234375,10.07275390625,-0.03808322176337242,0.0037284272257238626,-0.011185280978679657,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07385484924316406,0.010217317962646483,9.825008908843994,-0.0011171294905838014,0.007385584810695801,-0.001258463448663025,30.0,50809,,,,-0.07177734375,0.20097656548023224,10.063183784484863,-0.03648532181978226,0.007456854451447725,-0.011451597325503826,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07306612091064453,0.01757778549194336,9.827066862487793,-0.0009187705960551453,0.0060697701883520505,-0.0019772106745196533,30.0,50810,,,,-0.05024414137005806,0.13876953721046448,10.079931259155273,-0.03648532181978226,0.003994743339717388,-0.009321067482233047,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07078304061889648,0.015777781677246094,9.825772552490234,-0.0010968628348275757,0.007327168372586365,-0.001709316644406891,30.0,50811,,,,-0.07177734375,0.11005859076976776,10.060791015625,-0.037550587207078934,0.0055926404893398285,-0.006924221757799387,39.11823654174805,,,,,,,,,,,,,,,,2779096485
-0.0762718391418457,0.019036398315429685,9.822834952545165,-0.0026664301019929506,0.007146319762104645,-0.0017032246634552002,30.0,50812,17.850000381469727,-19.799999237060547,-70.80000305175781,-0.083740234375,0.12441406399011612,10.142138481140137,-0.03621900454163551,0.003195794764906168,-0.006657905410975218,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07463838119506835,0.019300927734375,9.823902042388916,-0.001092901382733307,0.006316605272289734,-0.004603839834294891,30.0,50813,,,,-0.04067382961511612,0.095703125,10.149316787719727,-0.03808322176337242,0.0021305298432707787,-0.007723170332610607,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.0770565299987793,0.014693943786621094,9.82801032333374,-0.0014464426729144286,0.007678659028742218,-0.002524410379937744,30.0,50814,,,,-0.08134765923023224,0.10288085788488388,10.137353897094727,-0.036751639097929,0.003195794764906168,-0.010386332869529724,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.0771463264465332,0.020354447174072265,9.821448640441893,-0.00179377213989563,0.0069701117097904965,-0.0014339457895851135,30.0,50815,,,,-0.04545898362994194,0.155517578125,10.16845703125,-0.03781690448522568,0.006924221757799387,-0.006657905410975218,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07428024215698242,0.017254600524902342,9.82501784362793,-0.0010963168868078613,0.0072314410478613285,-0.002433490060947266,30.100000381469727,50816,18.0,-19.5,-70.80000305175781,-0.05742187425494194,0.08852539211511612,10.130175590515137,-0.03302321210503578,0.0037284272257238626,-0.009321067482233047,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07946297760009766,0.020384130096435547,9.823712879180908,-0.0007511046328787231,0.008321386321804963,-0.000808362595921936,30.100000381469727,50817,,,,-0.10048828274011612,0.16508789360523224,10.139745712280273,-0.035686373710632324,0.007190538104623556,-0.011451597325503826,39.11823654174805,,,,,,,,,,,,,,,,2779096485
-0.07857656478881836,0.01918215866088867,9.818561808013916,-0.0014409565611065674,0.007422975592143555,-0.001979687414316406,30.100000381469727,50818,,,,0.009570312686264515,0.14833983778953552,10.139745712280273,-0.03808322176337242,0.004527375567704439,-0.012250546365976334,38.93000030517578,,,,,,,,,,,,,,,,2779096485
-0.07643890838623046,0.015934159088134767,9.829370391845703,-0.0012221579053520203,0.007507271297967987,-0.0013426726017526246,30.200000762939453,50821,17.549999237060547,-19.799999237060547,-71.4000015258789,-0.095703125,0.13637694716453552,10.115819931030273,-0.03648532181978226,0.002929478418081999,-0.007190538104623556,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.07643890838623046,0.015934159088134767,9.829370391845703,-0.0012221579053520203,0.007507271297967987,-0.0013426726017526246,30.200000762939453,50822,,,,-0.13637694716453552,0.11962890625,10.161279678344727,-0.03595269098877907,0.004261059686541557,-0.012783179059624672,38.93000030517578,,,,,,,,,,,,,,,,2779096485
-0.07466481170654296,0.014742692565917969,9.82870499343872,-0.002705139148171234,0.007593218163656922,-0.0016095080253393556,30.200000762939453,50823,,,,-0.11962890625,0.17705078423023224,10.017724990844727,-0.03728426992893219,0.006125273182988167,-0.011185280978679657,39.02411651611328,,,,,,,,,,,,,,,,2779096485
-0.0777133674621582,0.014815554046630859,9.828297171020507,0.0009580189323504639,0.007856658056877136,-0.002709939496003113,30.200000762939453,50824,18.0,-19.649999618530273,-71.25,-0.0478515625,0.05742187425494194,10.099072456359863,-0.03834953531622887,0.0034621108788996935,-0.009054751135408878,38.93000030517578,,,,,,,,,,,,,,,,2779096485
-0.07530927505493164,0.01335129623413086,9.826707452392577,-0.0015697004252189636,0.0069719892383461,-0.0009773201922181703,30.200000762939453,50825,,,,-0.10048828274011612,0.16987304389476776,10.111035346984863,-0.03781690448522568,0.0050600082613527775,-0.017576871439814568,39.02411651611328,,,,,,,,,,,,,,,,2779096485
