X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-23392627,-357,389483943,5943,124633255,1901,-247100480,-3771,39936842,609,149889446,2287,0
-21678395,-331,387129915,5907,124293543,1896,-246221737,-3758,43598224,665,148663779,2268,0
-20091829,-307,382226089,5832,124376566,1897,-246012780,-3754,44856036,684,147353990,2248,0
-19815162,-303,379530396,5791,124249095,1902,-245229967,-3742,45834211,699,148162579,2260,0
-19218570,-284,374693328,5717,125757694,1918,-243657886,-3718,45857783,699,147207175,2246,0
-18288795,-280,372272684,5680,126309254,1927,-240923200,-3677,46189246,704,146991378,2242,0
-17692177,-270,367091883,5601,127003062,1937,-239163198,-3650,46169636,704,146320762,2236,0
-16105697,-246,364731800,5565,126668140,1932,-235792864,-3598,46308229,706,146179131,2230,0
-15116911,-231,360356426,5498,126949079,1937,-234013211,-3571,46632980,711,146163235,2230,0
-13531672,-207,357867036,5460,127295287,1942,-231939014,-3497,47294587,721,144581825,2206,0
-13001353,-199,353607752,5395,127104970,1939,-226259510,-3453,47647919,727,143443457,2188,0
-13444265,-206,352217239,5374,127111702,1939,-224041919,-3419,47191848,720,145141318,2214,0
-13632754,-209,350735593,5313,126379148,1928,-220827548,-3370,46199434,704,147267172,2247,0
-13155773,-201,345619951,5273,126318754,1927,-219330273,-3347,45090791,688,151144755,2306,0
-11836835,-181,342786995,5230,125990193,1922,-217477229,-3319,45028324,687,152934833,2333,0
-8671371,-133,335787483,5123,126269695,1926,-216285903,-3301,44186869,665,156576889,2389,0
-6562421,-101,331808493,5062,124348693,1897,-215728615,-3292,42917099,654,158136246,2412,0
-895224,-14,321421214,4904,123369134,1882,-215955545,-3296,42353690,640,161025328,2457,0
2856687,43,315826391,4819,122559743,1845,-212887075,-3249,40718690,621,160159536,2443,0
11983007,182,304085590,4639,119237435,1819,-211585235,-3229,39179870,597,155093581,2366,0
16672031,254,298482577,4554,117268664,1748,-209280950,-3194,35655627,544,151364679,2309,0
21407078,402,287597904,4388,112172670,1711,-209006386,-3190,34265166,522,141973587,2166,0
31394938,479,282521312,4310,109384734,1669,-209567562,-3198,32174307,490,137520624,2098,0
36060023,550,273045843,4166,103743469,1582,-210103485,-3206,31911206,486,132891294,1964,0
44018704,671,268578162,4098,100685466,1536,-211709133,-3231,32424397,494,125060646,1908,0
47439725,723,260648536,3977,95115832,1451,-212643845,-3245,32946604,502,122087907,1862,0
52641232,803,256861577,3919,92196710,1406,-213189391,-3262,34504031,526,116895342,1783,0
55077164,840,250064068,3815,87990323,1342,-214448696,-3273,35163251,536,115386293,1760,0
