X_GYRO_LOW,X_GYRO_OUT,Y_GYRO_LOW,Y_GYRO_OUT,Z_GYRO_LOW,Z_GYRO_OUT,X_ACCL_LOW,X_ACCL_OUT,Y_ACCL_LOW,Y_ACCL_OUT,Z_ACCL_LOW,Z_ACCL_OUT,TIME_STAMP
-206604,-4,798401,12,-209724,-4,33226178,506,-611313,-10,260754145,3978,0
-338037,-6,933606,14,-141740,-3,32939747,502,-845086,-13,261122258,3984,0
-272276,-5,865706,13,-617728,-10,33197326,506,-798762,-13,260776928,3979,0
-403711,-7,1064275,16,-617979,-10,33125450,505,-660217,-11,260976623,3982,0
-469340,-8,1064761,16,-549752,-9,33146213,505,-759423,-12,261194577,3985,0
-600210,-10,996155,15,-685058,-11,32984079,503,-586069,-9,260820964,3979,0
-469274,-8,1064227,16,-617751,-10,33274136,507,-725474,-12,260725516,3978,0
-272587,-5,938163,14,402026,6,33311505,508,-624596,-10,260956528,3981,0
-399030,-7,670784,10,-140266,-3,33003904,503,-521617,-8,260969786,3982,0
-332570,-6,725078,11,-820421,-13,33012633,503,-660253,-11,260940844,3981,0
-396338,-7,1014828,15,-73144,-2,33294737,508,-688314,-11,260713857,3978,0
-527117,-9,946814,14,-548667,-9,33060834,504,-787020,-13,261011488,3982,0
-264643,-5,878003,13,-345125,-6,32968426,503,-738155,-10,260872699,3980,0
-527310,-9,1013571,15,250066,3,33186401,506,-632421,-10,260968394,3982,0
-396589,-7,811080,12,-276435,-5,32996127,503,-569670,-9,260527854,3975,0
-132611,-3,538423,8,-684399,-11,33170201,506,-468545,-8,260754823,3978,0
-263775,-8,878899,13,-208442,-4,33323442,508,-669456,-11,260940001,3980,0
-527461,-9,1014655,15,-72688,-2,33170315,506,-608012,-10,260968508,3982,0
-460794,-8,610713,9,-207727,-4,33212015,506,-384589,-6,261144685,3984,0
-198897,-4,743828,11,-276883,-5,33283863,507,-447221,-7,260588278,3976,0
-264767,-5,878548,13,-344654,-6,33395805,509,-464615,-8,260591337,3976,0
-263989,-5,607944,9,-412181,-7,33258104,507,-455379,-9,260813613,3979,0
-263930,-5,607365,9,-545717,-9,33144831,505,-569312,-9,260484041,3974,0
-2488,-1,1084319,16,129250,1,33084280,504,-417632,-7,260651461,3977,0
-396174,-7,948623,14,63091,0,32944552,502,-427378,-7,260847050,3980,0
-526869,-9,744198,11,-207971,-4,33149744,505,-611410,-10,260833491,3980,0
-394995,-7,607834,9,-411725,-7,32868584,501,-500700,-8,260914378,3981,0
-394945,-7,607281,9,-615951,-10,32855014,501,-729091,-12,260964671,3982,0
-527181,-9,1010717,15,-548683,-9,33146346,505,-696791,-11,260749432,3978,0
-527638,-9,1147753,17,-547983,-9,32789954,500,-670941,-11,260734693,3978,0
-526779,-9,875444,13,-616210,-10,32924318,502,-529690,-9,260735150,3978,0
-527538,-9,1146654,17,-85476,-2,32940382,502,-656450,-11,261076173,3983,0
-528250,-9,1215715,18,-209394,-4,32995996,503,-794665,-13,260985471,3982,0
-460850,-8,743122,11,-343970,-6,32834790,501,-688030,-11,260901386,3981,0
