Designator,Mid X,Mid Y,Rotation,Layer
R9,12.446,-81.153,0.0,top
RESET1,34.036,-54.61,0.0,top
RESET2,16.567,-75.635,180.0,top
SW1,67.818,-75.184,90.0,top
SW2,34.992,-98.08,90.0,top
SW3,43.542,-98.08,90.0,top
SW4,52.092,-98.08,90.0,top
SW5,60.642,-98.08,90.0,top
U1,54.229,-47.117,45.0,top
U10,8.857,-65.024,90.0,top
U11,29.476,-37.166,0.0,top
U12,35.814,-30.48,0.0,top
U14,17.0,-31.08,90.0,top
U15,45.974,-4.826,0.0,top
U16,42.5,-19.5,270.0,top
U17,75.057,-42.859,90.0,top
U18,50.0,-63.5,0.0,top
U2,10.795,-90.678,270.0,top
U3,74.9,-97.739,0.0,top
U4,70.6,-93.439,180.0,top
U5,11.557,-94.234,0.0,top
U6,74.803,-75.265,90.0,top
U7,76.708,-69.215,90.0,top
U8,23.0,-90.9,180.0,top
U9,28.702,-73.979,90.0,top
X1,41.529,-58.293,0.0,top
X2,29.67,-96.6,180.0,top
