adisAccelX,adisAccelY,adisAccelZ,adisGyroX,adisGyroY,adisGyroZ,adisTemp,adisDataCNT,lsmMagX,lsmMagY,lsmMagZ,mpuAccelX,mpuAccelY,mpuAccelZ,mpuGyroX,mpuGyroY,mpuGyroZ,mpuTemp,year,month,day,hour,min,sec,fixType,fLon,fLat,height,hMSL,hAcc,vAcc,gSpeed,headMot,padding
-0.051564947873013786,-0.03852946853149279,9.80987462824074,-0.0007930241641150521,-3.689055102643231e-06,0.0014487804400892528,25.5,45121,18.450000762939453,32.099998474121094,-75.5999984741211,-0.0015531722456216812,0.10363718867301941,9.760526657104492,0.0013635419309139252,9.676162153482437e-05,0.0022503724321722984,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.059135968238330165,-0.034315470798647246,9.806059138860842,-0.0008815742697516485,0.0006142042609657769,0.00026973911248930776,25.5,45122,0.0,0.0,0.0,0.01764553226530552,0.00523575022816658,9.812829971313477,0.00029827654361724854,-0.004164298065006733,-0.004940166138112545,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.05286075022699148,-0.048282221077413756,9.811986523972182,7.664439967919844e-05,0.0013250885037579827,-0.0006416079220782584,25.5,45123,0.0,0.0,0.0,-0.03515090420842171,-0.025964708998799324,9.955476760864258,0.0010972246527671814,-0.0012348196469247341,0.0033156368881464005,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.05216418076797186,-0.027861770465221206,9.80935051167727,0.0009331170003627923,0.0015743004589522276,7.760535696593133e-05,25.5,45124,0.0,0.0,0.0,-0.14794328808784485,0.02203599363565445,9.834227561950684,-0.0007669888436794281,0.0040915049612522125,0.0006524743512272835,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.03552796397158158,-0.04897347669770809,9.858415278976203,-0.0008163334813957833,-0.00042376276675944267,-0.0005440629899217334,25.5,45125,18.299999237060547,32.25,-74.4000015258789,-0.12154507637023926,0.010035816580057144,9.7843017578125,-0.0012996196746826172,0.0038251886144280434,-0.00014647375792264938,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.062097182756362605,-0.03368245529604806,9.794733566094969,0.0004012437869127801,0.001013245658058215,-0.00046278997191376834,25.5,45126,0.0,0.0,0.0,-0.14314360916614532,-0.028364744037389755,9.822340965270996,-0.0007669888436794281,-0.0020337682217359543,0.0025166887789964676,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.059935406447079974,-0.040860942305976755,9.789937314862891,0.0009122511333654168,9.006087252659903e-05,-0.00046267678756821786,25.5,45127,0.0,0.0,0.0,-0.15274296700954437,0.031636133790016174,9.831850051879883,-0.0005006715655326843,0.0008957101963460445,0.0006524743512272835,33.28293991088867,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.038763283337641445,-0.042131870265872215,9.848998739803369,-0.0009284858520310067,-0.0006425547646113101,8.869742282988395e-05,25.399999618530273,45128,0.0,0.0,0.0,-0.1191452294588089,0.017235923558473587,9.827095031738281,0.0005645938217639923,0.002227291464805603,0.0030493205413222313,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.051383843551631975,-0.04424171011364597,9.798182222447803,0.0008144332271990349,0.0002515016966977415,-0.0004638086310237231,25.399999618530273,45129,19.5,31.649999618530273,-75.44999694824219,-0.05674944818019867,0.00523575022816658,9.848491668701172,-0.0028975196182727814,-0.0028327167965471745,0.0009187906980514526,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.0604352842778001,-0.03706774624507872,9.810361161137317,-0.0007487491112967534,0.000995981716410418,0.0008076377278642162,25.5,45130,0.0,0.0,0.0,-0.14314360916614532,-0.06916534155607224,9.746262550354004,-0.00023435801267623901,9.676162153482437e-05,-0.0017443709075450897,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.04175750407152118,-0.042246257146582825,9.82542261016763,0.001712417851088958,0.00020728656500355793,-0.0004645143687077443,25.5,45131,0.0,0.0,0.0,-0.02795139141380787,-0.021164637058973312,9.746262550354004,0.0008309073746204376,-0.000968503300100565,0.0030493205413222313,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.0517305770263766,-0.04185711746416536,9.820105380570908,-0.00038402254461416705,0.0011797398303630552,-0.001909472329324657,25.5,45132,17.399999618530273,32.099998474121094,-75.30000305175781,-0.07834799587726593,-0.006764426827430725,9.75339412689209,-0.0010333061218261719,0.0014283424243330956,-0.0014780545607209206,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.05107202265401235,-0.03897325972358312,9.814029043093859,-0.0006247789634055184,0.0006047766707716852,0.00017788002922102778,25.5,45133,0.0,0.0,0.0,-0.061549123376607895,-0.049965061247348785,9.85562515258789,-0.0005006715655326843,-0.000968503300100565,0.0025166887789964676,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.053689643586463456,-0.043983592005375785,9.811893349354653,0.00035212843884652634,-2.503948425702611e-06,-0.000636980679716045,25.5,45134,0.0,0.0,0.0,-0.07114847749471664,-0.021164637058973312,9.767659187316895,-0.0012996196746826172,9.676162153482437e-05,0.0025166887789964676,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.052747751596746446,-0.03454461837340414,9.812389670442805,0.000185973819578338,0.0021009072713828,0.001078075076800526,25.5,45135,0.0,0.0,0.0,-0.05914928391575813,0.0004356764256954193,9.80569839477539,-0.00023435801267623901,0.0014283424243330956,-0.002010687254369259,33.47117614746094,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
-0.04862963744057837,-0.04509658383095676,9.81956067891752,-0.0012942310778235482,0.0011037731607906063,1.0071187453116782e-07,25.5,45136,18.0,32.54999923706055,-75.5999984741211,-0.06634879857301712,-0.004364393651485443,9.800943374633789,0.00029827654361724854,-0.0001695547252893448,0.0022503724321722984,33.37705993652344,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2779096485
