MSC_CTRL,DATA_CNTR,X_GYRO_OUT,Y_GYRO_OUT,Z_GYRO_OUT,X_ACCL_OUT,Y_ACCL_OUT,Z_ACCL_OUT,LATITUDE,LONGITUDE,ALTITUDE
193,1032,65533,12,65529,19,56,4014
193,1033,65530,14,0,18,53,4013
193,1034,65530,12,65533,18,56,4010
193,1035,65528,15,65532,22,55,4012
193,1036,65523,19,65527,19,56,4011
193,1037,65533,10,65522,19,56,4012
193,1038,65535,12,65527,21,58,4013
193,1039,65528,14,65530,22,56,4012
193,1040,65524,16,65525,20,53,4010
193,1041,65532,18,3,20,54,4014
193,1042,65530,18,65534,20,56,4013
193,1043,65532,15,65533,20,54,4012
193,1044,65528,17,65532,19,55,4009
193,1045,65535,18,65533,21,55,4011
193,1046,65531,13,65527,21,52,4013
193,1047,2,13,65526,22,52,4015
193,1048,65532,13,1,21,54,4012
193,1049,65530,11,65528,19,56,4010
193,1050,65529,15,65532,21,54,4008
193,1051,65529,18,65532,24,55,4007
193,1052,65534,20,65529,20,53,4009
193,1053,65531,19,65532,20,51,4009
193,1054,65529,17,65534,18,51,4013
193,1055,65532,8,65530,20,58,4010
193,1056,65527,10,65526,20,56,4010
193,1057,65535,20,65531,21,55,4012
193,1058,65526,16,65529,17,57,4013
193,1059,65526,17,65535,21,55,4014
193,1060,65528,15,65534,17,53,4015
193,1061,65534,17,65530,21,51,4012
193,1062,0,22,65532,16,56,4019
193,1063,65531,17,65535,18,55,4015
193,1064,65532,16,65532,18,52,4013
193,1065,65533,17,65532,20,55,4012
193,1066,65535,19,65527,19,55,4012
193,1067,65527,12,65531,17,57,4015
193,1068,65529,17,65529,20,55,4013
193,1069,65533,19,65535,19,53,4015
193,1070,65523,18,65534,20,56,4013
193,1071,65527,18,65532,20,50,4010
193,1072,65530,15,1,21,55,4014
193,1073,65535,13,1,19,56,4013
193,1074,65535,19,65535,21,57,4015
193,1075,65529,16,65529,20,54,4013
193,1076,65524,11,65530,19,58,4013
193,1077,65523,18,65529,21,56,4013
193,1078,65530,14,65534,21,56,4013
193,1079,65532,16,6,19,54,4016
193,1080,65531,12,65535,22,56,4015
193,1081,65528,18,65529,22,54,4013
193,1082,65532,16,65530,23,57,4012
193,1083,1,15,65533,22,59,4013
193,1084,65526,18,65529,19,62,4014
193,1085,65526,18,1,20,62,4009
193,1086,65527,21,65533,15,58,4014
193,1087,65529,12,65529,19,56,4008
193,1088,0,16,0,19,58,4009
193,1089,65529,15,65526,17,57,4012
193,1090,65529,19,65531,21,56,4008
193,1091,65531,18,65530,20,56,4012
193,1092,65529,20,65534,19,60,4012
193,1093,65529,18,65530,19,57,4008
193,1094,65531,16,65534,20,58,4010
193,1095,65530,16,65532,22,57,4013
193,1096,65530,22,1,23,59,4012
193,1097,65527,18,65533,22,58,4015
193,1098,65534,18,65531,20,61,4013
193,1099,65530,16,2,20,58,4010
193,1100,65531,13,65525,24,55,4012
193,1101,65525,17,65524,20,56,4017
193,1102,65534,19,65532,19,59,4011
193,1103,3,18,65532,22,56,4009
193,1104,65530,12,65525,19,58,4012
193,1105,65531,21,1,21,56,4013
193,1106,65533,12,2,18,61,4017
193,1107,65527,17,65531,23,61,4016
193,1108,65526,18,65525,23,57,4014
193,1109,65529,18,65535,18,59,4016
193,1110,65532,18,65532,17,58,4012
193,1111,65535,13,65528,20,60,4012
193,1112,65531,18,65528,20,60,4011
193,1113,65528,15,65529,21,55,4008
193,1114,65531,13,65527,22,56,4014
193,1115,65533,16,1,22,57,4013
193,1116,65531,19,1,19,60,4013
193,1117,65525,17,65518,20,61,4007
193,1118,65531,15,3,21,60,4009
193,1119,65528,16,65532,24,57,4012
193,1120,65533,17,65531,23,60,4010
193,1121,65532,16,65531,19,56,4011
